dataset,attack_type,n,chunk_index_mean,chunk_index_std,bitwise/clean_mean,bitwise/clean_std,bitwise/distorted_mean,bitwise/distorted_std,bitwise/no_watermark_clean_mean,bitwise/no_watermark_clean_std,bitwise/no_watermark_distorted_mean,bitwise/no_watermark_distorted_std,hard/clean_mean,hard/clean_std,hard/distorted_mean,hard/distorted_std,hard/no_watermark_clean_mean,hard/no_watermark_clean_std,hard/no_watermark_distorted_mean,hard/no_watermark_distorted_std,sisnr_wm_mean,sisnr_wm_std,sisnr_attack_mean,sisnr_attack_std
Bach10,background_noise,20,4.5,2.8722813232690143,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,37.72996883392334,0.936111232781572,26.069224262237547,2.826307033629856
Bach10,dynamic_range_compression,10,4.5,2.8722813232690143,1.0,0.0,0.99375,0.01875,0.0,0.0,0.0,0.0,1.0,0.0,0.9,0.30000000000000004,0.0,0.0,0.0,0.0,37.25977210998535,0.7285512663275738,13.091052150726318,1.7823929685203577
Bach10,encodec,8,3.5,2.29128784747792,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.159682273864746,1.134579782188484,10.33198893070221,0.49807425941468786
Bach10,gaussian_noise,26,3.8846153846153846,2.576923076923077,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,37.679907872126655,0.9257925934281639,35.10807785621056,0.7606402370967787
Bach10,highpass,20,4.5,2.8722813232690143,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,37.429900550842284,0.961448967888054,-7.71280608177185,2.6638418351519126
Bach10,quantization,10,4.5,2.8722813232690143,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,37.456034088134764,0.804969266936091,63.50655097961426,0.023446073928933633
Clotho,aac,348,2.9482758620689653,2.1179778942854264,0.9929956896551724,0.07615175493888178,0.9938936781609196,0.07571188138609986,0.0,0.0,0.0,0.0,0.9770114942528736,0.1498667219586816,0.9885057471264368,0.10659331604018049,0.0,0.0,0.0,0.0,35.5561252407644,4.00649369803035,-30.535399223196094,14.668433429282286
Clotho,background_noise,360,2.922222222222222,2.125128899503786,0.9862847222222222,0.10621240597621434,0.9795138888888889,0.12949061453071883,0.0,0.0,0.0,0.0,0.9638888888888889,0.18656660678007758,0.9472222222222222,0.22358954347334156,0.0,0.0,0.0,0.0,35.36966943740845,4.878110232774042,27.149261734220715,4.273618262769386
Clotho,dac,454,2.746696035242291,2.059612706874543,0.9911894273127754,0.08197312347299404,0.0,0.0,0.0,0.0,0.0,0.0,0.9647577092511013,0.18439162587186209,0.0,0.0,0.0,0.0,0.0,0.0,35.0138334576779,3.7853493406225525,-0.650000871662748,8.689240008300128
Clotho,dynamic_range_compression,376,2.8617021276595747,2.0813307109379195,0.996343085106383,0.05224282863392456,0.952626329787234,0.20254818017149614,0.0,0.0,0.0,0.0,0.9840425531914894,0.12531084031265685,0.9042553191489362,0.29424078055190067,0.0,0.0,0.0,0.0,34.9074391811452,4.1635644686458,13.1716592847865,3.8550609211053333
Clotho,dynamic_range_expansion,392,2.8469387755102042,2.0421679197798825,0.9899553571428571,0.08798579385492077,0.9119897959183674,0.27332028970280203,0.0,0.0,0.0,0.0,0.9591836734693877,0.19786448397617673,0.8494897959183674,0.3575708077415408,0.0,0.0,0.0,0.0,34.60079184843569,3.753343558390738,5.5302809463975455,4.910782873047797
Clotho,encodec,554,2.911552346570397,2.110941953150372,0.9942463898916968,0.06206442614237467,0.0,0.0,0.0,0.0,0.0,0.0,0.9747292418772563,0.15694631855078814,0.0,0.0,0.0,0.0,0.0,0.0,35.16624422107793,2.8281619217661427,5.00406907286347,9.713575386460503
Clotho,eq,404,2.8465346534653464,2.085122422335406,0.9961324257425742,0.05066209318805314,0.9859220297029703,0.10039865208968125,0.0012376237623762376,0.0248451236384712,0.0,0.0,0.9777227722772277,0.1475837147105331,0.9356435643564357,0.24538680656225206,0.0,0.0,0.0,0.0,34.417271741546024,4.123769447897274,2.83225845682765,3.7340672313771655
Clotho,gain,148,2.9324324324324325,2.1455868036323094,0.997043918918919,0.015126262405888779,0.9607263513513513,0.18312468369550636,0.0,0.0,0.0,0.0,0.9594594594594594,0.19722323674765438,0.9324324324324325,0.25100237325684743,0.0,0.0,0.0,0.0,35.668752992475355,2.63712048984024,88.93386825355324,9.372885247569279
Clotho,gaussian_noise,342,2.710526315789474,1.9870502582571088,0.9994517543859649,0.005827930818385225,0.8728070175438597,0.32723971962889964,0.0,0.0,0.0,0.0,0.9912280701754386,0.09324689309416359,0.8216374269005848,0.3828176662809215,0.0,0.0,0.0,0.0,34.92319740607724,2.4155188162661,29.391163775795384,5.427398060590193
Clotho,highpass,374,2.8636363636363638,2.0966266862156178,0.9989973262032086,0.009085746804189963,0.9989973262032086,0.009085746804189963,0.0,0.0,0.0,0.0,0.9866310160427807,0.11484883205836648,0.9866310160427807,0.11484883205836648,0.0,0.0,0.0,0.0,34.89433045820756,2.587589395130003,-7.432361084076372,11.021893837859803
Clotho,limiter,310,2.925806451612903,2.116977111725887,0.9907258064516129,0.08088271464024586,0.8729838709677419,0.32284641269722547,0.0,0.0,0.0,0.0,0.9483870967741935,0.22124423483202899,0.8,0.39999999999999997,0.0,0.0,0.0,0.0,34.820272008834344,4.451298437385576,8.136296750653175,5.336764207128184
Clotho,lowpass,424,2.849056603773585,2.07315479598528,0.9995577830188679,0.005238607206343414,0.9992629716981132,0.006746929534991632,0.0,0.0,0.0,0.0,0.9929245283018868,0.08381771530149462,0.9882075471698113,0.10795087255986612,0.0,0.0,0.0,0.0,35.32613107393373,2.689853985149868,12.683777577683049,10.12045337922415
Clotho,mp3,394,2.8553299492385786,2.0800928614976057,0.9750951776649747,0.14950343086260343,0.398001269035533,0.4821903210445534,0.0,0.0,0.0,0.0,0.9441624365482234,0.2296077741705308,0.32741116751269034,0.46926868092881224,0.0,0.0,0.0,0.0,34.650561095494304,4.093873132496686,13.581734619637583,7.982190795530567
Clotho,phase_shift,146,2.6095890410958904,1.963269874020397,0.9995719178082192,0.00515479219982547,0.9991438356164384,0.007264795697122064,0.0,0.0,0.0,0.0,0.9931506849315068,0.08247667519720751,0.9863013698630136,0.11623673115395303,0.0,0.0,0.0,0.0,35.38600118192908,2.9000929653550362,-26.660256008579307,13.85311240945192
Clotho,polarity,184,3.0217391304347827,2.1818333977243385,1.0,0.0,0.9996603260869565,0.00459502352529507,0.0,0.0,0.0,0.0,1.0,0.0,0.9945652173913043,0.0735203764047211,0.0,0.0,0.0,0.0,34.96439170837402,2.3836200414034456,90.27094107088836,1.1178937509422133
Clotho,quantization,206,2.7718446601941746,2.0718603560792523,0.993628640776699,0.0703314393722461,0.993628640776699,0.0703314393722461,0.0,0.0,0.0,0.0,0.9757281553398058,0.153891917321819,0.9757281553398058,0.153891917321819,0.0,0.0,0.0,0.0,34.791997594740785,4.830371602794922,63.58440856563235,9.558388281529776
Clotho,reverb,288,2.8055555555555554,2.0523623846739865,0.9939236111111112,0.06242158468175971,0.8038194444444444,0.3752972715761056,0.0,0.0,0.0,0.0,0.9722222222222222,0.16433554953054488,0.6180555555555556,0.485863031936439,0.0,0.0,0.0,0.0,35.00173776017295,2.717264387952509,2.796128010157392,1.866880517920593
Clotho,time_jitter,112,2.607142857142857,1.9335253833770234,0.9983258928571429,0.010091038683049733,0.9771205357142857,0.13284414951523946,0.0,0.0,0.0,0.0,0.9732142857142857,0.1614566189287957,0.9017857142857143,0.2976041662946243,0.0,0.0,0.0,0.0,35.30818940911974,2.4510590798538274,38.084061758858816,11.725294157016123
Clotho,time_stretch,174,2.7988505747126435,2.084369540165787,0.9964080459770115,0.019778591807379602,0.6138649425287356,0.4701362884823775,0.0,0.0,0.0,0.0,0.9597701149425287,0.196497942497457,0.45977011494252873,0.4983789284753747,0.0,0.0,0.0,0.0,34.79378871260018,2.7501445881955076,-16.61983120869631,10.955037756777173
Clotho,vorbis,420,2.795238095238095,2.035629349383763,0.9964285714285714,0.020373322726339082,0.7636904761904761,0.4143744346025153,0.0,0.0,0.0,0.0,0.9619047619047619,0.19142620230706459,0.6714285714285714,0.46969377779353133,0.0,0.0,0.0,0.0,34.610458764575775,2.7683271452313787,16.55262763954344,5.353814543953014
DAPS,aac,410,4.5,2.8722813232690143,0.9998475609756098,0.003082888478072665,1.0,0.0,0.0,0.0,0.0,0.0,0.9975609756097561,0.04932621564916263,1.0,0.0,0.0,0.0,0.0,0.0,37.42363801351408,1.3147967197440027,-29.821230161480788,10.655089786083447
DAPS,background_noise,310,4.5,2.8722813232690143,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,37.378395658923736,1.4206960223854583,27.771252822875976,4.679936233358023
DAPS,dac,690,4.5,2.8722813232690143,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.39691613238791,1.3530576097044469,4.71430433527229,2.622284214828119
DAPS,dynamic_range_compression,360,4.5,2.8722813232690143,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,37.71934337615967,1.2669498367349492,10.335944990317026,2.6519280105655234
DAPS,dynamic_range_expansion,390,4.5,2.8722813232690143,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,37.71320233467298,1.4066719660882983,4.861987904545206,3.1476366094193837
DAPS,encodec,590,4.5,2.8722813232690143,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.52315871028577,1.3426809455327002,11.437080564741361,2.1801344399730413
DAPS,eq,480,4.5,2.8722813232690143,0.9979166666666667,0.04559597630883185,0.9979166666666667,0.04559597630883185,0.0,0.0,0.0,0.0,0.9979166666666667,0.04559597630883185,0.9979166666666667,0.04559597630883185,0.0,0.0,0.0,0.0,37.60769134362538,2.7551451965432463,2.107488099320714,3.4140439977777355
DAPS,gain,150,4.5,2.8722813232690143,1.0,0.0,0.9995833333333334,0.005086064839889042,0.0,0.0,0.0,0.0,1.0,0.0,0.9933333333333333,0.08137703743822468,0.0,0.0,0.0,0.0,37.66154136657715,1.2855705031950104,90.39454818725586,9.817203653939053
DAPS,gaussian_noise,330,4.5,2.8722813232690143,1.0,0.0,0.7488636363636364,0.41571706529159425,0.0,0.0,0.0,0.0,1.0,0.0,0.6,0.48989794855663565,0.0,0.0,0.0,0.0,37.29394341671106,1.3234163270815689,29.217936567826705,5.342657121874544
DAPS,highpass,350,4.5,2.8722813232690143,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,37.45868109566825,1.3584973560503562,-11.976913056448103,8.23046932844067
DAPS,limiter,400,4.5,2.8722813232690143,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,37.6468595790863,1.3122687306879282,7.065353058651089,2.5667566491557148
DAPS,lowpass,500,4.5,2.8722813232690143,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,37.399074195861814,1.4136002381738881,15.902400271415711,3.6890183245459944
DAPS,mp3,340,4.5,2.8722813232690143,1.0,0.0,0.8615808823529412,0.32948904974099136,0.0,0.0,0.0,0.0,1.0,0.0,0.7352941176470589,0.44117647058823534,0.0,0.0,0.0,0.0,37.407156248653635,1.4394075716068424,19.159132873310764,2.9154240428394558
DAPS,phase_shift,220,4.5,2.8722813232690143,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,37.49311759255149,1.3530769245079146,-19.224863230233844,13.117962949473956
DAPS,polarity,170,4.5,2.8722813232690143,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,37.31012490216423,1.232102015766957,90.57821520637063,4.989423720630673e-06
DAPS,quantization,220,4.5,2.8722813232690143,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,37.688518922979185,1.4073744352033635,58.92256469726563,6.754800721827198
DAPS,reverb,440,4.5,2.8722813232690143,0.9977272727272727,0.047618924635811286,0.9664772727272727,0.14997094243345996,0.0,0.0,0.0,0.0,0.9977272727272727,0.047618924635811286,0.8318181818181818,0.37402766503946744,0.0,0.0,0.0,0.0,37.76618127822876,2.821959318820432,3.7350977086716077,2.4075180634852287
DAPS,time_jitter,170,4.5,2.8722813232690143,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,37.48055790171904,1.3881055995651166,32.88407028422636,7.598158956977224
DAPS,time_stretch,240,4.5,2.8722813232690143,1.0,0.0,0.98359375,0.071085164316737,0.0,0.0,0.0,0.0,1.0,0.0,0.8375,0.36890886408434265,0.0,0.0,0.0,0.0,37.602488390604655,1.4405324731602467,-17.535963740820687,8.786784423885992
DAPS,vorbis,440,4.5,2.8722813232690143,1.0,0.0,0.9975852272727272,0.04770507296202346,0.0,0.0,0.0,0.0,1.0,0.0,0.9954545454545455,0.06726658448613065,0.0,0.0,0.0,0.0,37.59971407110041,1.3482698711636922,21.606551768563012,2.445368363409492
Freischuetz,aac,50,4.5,2.8722813232690143,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,37.64004890441895,1.6458421251350748,-24.217583417892456,10.42946013815287
Freischuetz,background_noise,80,4.5,2.8722813232690143,1.0,0.0,0.99921875,0.006943901888527803,0.0,0.0,0.0,0.0,1.0,0.0,0.9875,0.11110243021644485,0.0,0.0,0.0,0.0,37.518474912643434,1.457967529846208,28.40852110385895,4.629252332873813
Freischuetz,dac,80,4.5,2.8722813232690143,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.45950870513916,1.1070411737319792,6.101426988840103,2.823356098542502
Freischuetz,dynamic_range_compression,10,4.5,2.8722813232690143,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,36.808724594116214,0.7248404190915252,10.144339895248413,1.566859441386089
Freischuetz,dynamic_range_expansion,40,4.5,2.8722813232690143,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,37.07782735824585,0.8118094580334417,5.545351466536522,2.6804255082655457
Freischuetz,encodec,80,4.5,2.8722813232690143,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.38240990638733,1.2089437047174967,11.865422618389129,2.1911464001962795
Freischuetz,eq,60,4.5,2.8722813232690143,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,37.13005765279134,1.2633856067130322,1.2089567850033442,5.216419591783034
Freischuetz,gain,20,4.5,2.8722813232690143,1.0,0.0,0.990625,0.04086467759569382,0.0,0.0,0.0,0.0,1.0,0.0,0.95,0.21794494717703372,0.0,0.0,0.0,0.0,37.52275085449219,1.248793122258965,100.35729598999023,3.1074067654475908
Freischuetz,gaussian_noise,60,4.5,2.8722813232690143,1.0,0.0,0.6635416666666667,0.4545905418768509,0.0,0.0,0.0,0.0,1.0,0.0,0.5166666666666667,0.4997221450188316,0.0,0.0,0.0,0.0,36.980043983459474,1.23951276622698,28.45961596171061,7.416043141303685
Freischuetz,highpass,50,4.5,2.8722813232690143,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,37.21255554199219,0.9233740152287915,-11.214279191493988,7.113982439994104
Freischuetz,limiter,60,4.5,2.8722813232690143,1.0,0.0,0.9979166666666667,0.011219093348196882,0.0,0.0,0.0,0.0,1.0,0.0,0.9666666666666667,0.1795054935711501,0.0,0.0,0.0,0.0,37.2286184946696,1.2259002549514504,7.852954735358556,2.993753262360144
Freischuetz,mp3,30,4.5,2.8722813232690143,1.0,0.0,0.49166666666666664,0.49231948186337515,0.0,0.0,0.0,0.0,1.0,0.0,0.4,0.48989794855663565,0.0,0.0,0.0,0.0,37.461066563924156,1.9876788757947175,19.457819747924805,3.141993953552052
Freischuetz,quantization,10,4.5,2.8722813232690143,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,37.342885971069336,0.8624202274155749,63.58559989929199,0.01542231447820547
